Academic Year,Company Name,No of Selects,Salary(LPA)
2020-2024,Intuit,1,41.54
2020-2024,VISA,11,32.70
2020-2024,Analog Devices,1,25.43
2020-2024,Walmart,1,22.27
2020-2024,D.E.Shaw,1,21.00
2020-2024,NXP,1,16.48
2020-2024,Target Corp,2,13.50
2020-2024,Flipkart Neev,1,13.00
2020-2024,Publicis Sapient,7,12.47
2020-2024,IBM ISDL,3,12.00
2020-2024,Flipkart,3,11.00
2020-2024,Providence,2,10.50
2020-2024,Infosys,6,9.50
2020-2024,Hero Motocorp,9,9.00
2020-2024,Wabtec Corp,2,8.50
2020-2024,Sales Force,2,8.25
2020-2024,Hyundai Motors,8,8.05
2020-2024,TVS Motors,6,8.00
2020-2024,Schlumberger,1,8.00
2020-2024,Michelin,2,8.00
2020-2024,Infineon,7,8.00
2020-2024,Mahindra & Mahindra,21,8.00
2020-2024,Daimler Truck,4,7.50
2020-2024,Hitachi Energy,1,7.50
2020-2024,Health Edge,1,7.50
2020-2024,MG Motors,2,7.00
2020-2024,Saint Gobain,2,7.00
2020-2024,TCS Digital,11,7.00
2020-2024,Verizon,10,6.60
2020-2024,Accenture,1,6.50
2020-2024,Schlumberger Cameron,1,6.50
2020-2024,Bank of America,31,6.45
2020-2024,Cognizant,1,6.40
2020-2024,Sify,30,6.00
2020-2024,ADP,3,6.00
2020-2024,ZF Motor Vehicle Control Systems,1,6.00
2020-2024,Epiroc,1,6.00
2020-2024,Grindwell Norton,1,5.70
2020-2024,Siemens Energy,2,5.50
2020-2024,Schnider Electric,7,5.50
2020-2024,Cognizant,9,5.40
2020-2024,Health Edge Technologies,4,5.20
2020-2024,Worley,1,5.15
2020-2024,Dhan.Ai,3,5.00
2020-2024,Persistent Systems,11,5.00
2020-2024,Delliotte,16,5.00
2020-2024,SuperGAS,2,4.75
2020-2024,Accenture,137,4.50
2020-2024,KPIT,90,4.50
2020-2024,TATA Technologies,2,4.50
2020-2024,Kellog Brown & Roots Engineering and Construction (KBR),1,4.50
2020-2024,IBM CIC,6,4.50
2020-2024,Cyient,1,4.50
2020-2024,Tata Consulting Engineer,5,4.50
2020-2024,Cognizant GenC,7,4.50
2020-2024,Renault Nissan,39,4.25
2020-2024,Genpact,33,4.17
2020-2024,Qualizeal,43,4.00
2020-2024,Capgemini,122,4.00
2020-2024,Endurance Technologies,1,3.75
2020-2024,Vem Technologies,1,3.50
2020-2024,Amazon Non Technical,5,3.50
2020-2024,TCS Ninja,2,3.50
2020-2024,TCS NQT,17,3.50
2020-2024,Tech Mahindra,39,3.25
2020-2024,Chart Industries,2,3.25
2020-2024,Movate,6,2.40
2020-2024,Formonic,2,2.16
2020-2024,Amara Raja Batteries(MBA),1,4.00
2020-2024,D-Mart (MBA),2,3.00
